iter	Passed	Remaining
159	961	5048
160	963	5021
161	967	5005
162	969	4979
163	993	5065
164	995	5038
165	997	5012
166	999	4986
167	1001	4961
168	1005	4945
169	1008	4922
170	1010	4897
171	1012	4872
172	1014	4847
173	1016	4825
174	1019	4807
175	1022	4785
176	1028	4783
177	1039	4802
178	1042	4779
179	1046	4766
180	1048	4743
181	1055	4743
182	1059	4730
183	1061	4707
184	1063	4685
185	1069	4681
186	1071	4659
187	1073	4637
188	1075	4616
189	1077	4595
190	1080	4575
191	1095	4609
192	1097	4588
193	1101	4574
194	1105	4563
195	1107	4542
196	1109	4521
197	1112	4505
198	1116	4494
199	1118	4474
200	1120	4453
201	1125	4444
202	1127	4425
203	1129	4406
204	1135	4404
205	1160	4473
206	1168	4474
207	1170	4458
208	1172	4439
209	1174	4419
210	1177	4401
211	1180	4386
212	1182	4369
213	1185	4352
214	1187	4334
215	1237	4491
216	1241	4480
217	1243	4461
218	1248	4452
219	1250	4433
220	1252	4415
221	1254	4397
222	1256	4379
223	1258	4361
224	1262	4349
225	1265	4332
226	1267	4315
227	1269	4296
228	1271	4279
229	1272	4261
230	1288	4288
231	1290	4271
232	1293	4257
233	1295	4240
234	1297	4223
235	1299	4206
236	1301	4189
237	1303	4172
238	1305	4156
239	1307	4140
240	1309	4124
241	1311	4108
242	1313	4093
243	1316	4077
244	1332	4106
245	1334	4091
246	1340	4087
247	1342	4071
248	1344	4055
249	1352	4058
250	1365	4075
251	1368	4061
252	1372	4052
253	1374	4036
254	1377	4023
255	1379	4008
256	1381	3994
257	1383	3979
258	1435	4106
259	1438	4094
260	1440	4079
261	1448	4081
262	1451	4066
263	1453	4053
264	1455	4038
265	1457	4022
266	1460	4008
267	1463	3996
268	1465	3982
269	1467	3967
270	1469	3952
271	1471	3938
272	1498	3989
273	1500	3975
274	1502	3960
275	1504	3945
276	1508	3936
277	1512	3928
278	1514	3914
279	1516	3900
280	1518	3885
281	1520	3871
282	1522	3857
283	1526	3847
284	1528	3834
285	1530	3819
286	1542	3831
287	1544	3817
288	1546	3803
289	1549	3794
290	1551	3780
291	1553	3767
292	1555	3753
293	1557	3740
294	1559	3727
295	1561	3714
296	1568	3711
297	1569	3698
298	1572	3685
299	1574	3672
300	1583	3676
301	1588	3672
302	1590	3659
303	1607	3680
304	1609	3667
305	1617	3668
306	1619	3655
307	1626	3654
308	1632	3651
309	1637	3644
310	1641	3637
311	1643	3624
312	1645	3611
313	1648	3600
314	1650	3590
315	1662	3599
316	1666	3589
317	1684	3612
318	1686	3599
319	1699	3610
320	1701	3598
321	1703	3586
322	1706	3576
323	1708	3565
324	1710	3553
325	1765	3649
326	1767	3637
327	1771	3628
328	1773	3616
329	1780	3615
330	1782	3603
331	1796	3614
332	1798	3602
333	1802	3594
334	1804	3582
335	1806	3570
336	1809	3559
337	1811	3547
338	1813	3535
339	1814	3523
340	1817	3512
341	1819	3500
342	1821	3489
343	1845	3519
344	1847	3507
345	1849	3496
346	1851	3484
347	1853	3473
348	1855	3461
349	1857	3449
350	1859	3439
351	1863	3430
352	1867	3423
353	1870	3413
354	1872	3402
355	1875	3392
356	1877	3381
357	1886	3383
358	1895	3385
359	1908	3392
360	1910	3381
361	1912	3370
362	1914	3359
363	1916	3348
364	1918	3337
365	1922	3330
366	1925	3320
367	1927	3309
368	1929	3299
369	1931	3288
370	1961	3326
371	1963	3315
372	1965	3304
373	1994	3337
374	1995	3326
375	1998	3315
376	1999	3304
377	2004	3297
378	2006	3287
379	2008	3276
380	2010	3266
381	2020	3268
382	2026	3264
383	2028	3254
384	2045	3267
385	2048	3258
386	2052	3251
387	2054	3240
388	2058	3232
389	2060	3222
390	2062	3212
391	2064	3201
392	2067	3193
393	2070	3183
394	2071	3173
395	2074	3163
396	2076	3153
397	2078	3143
398	2101	3164
399	2105	3157
400	2107	3147
401	2110	3140
402	2113	3130
403	2115	3120
404	2117	3110
405	2119	3100
406	2124	3094
407	2126	3084
408	2129	3077
409	2131	3067
410	2139	3065
411	2141	3056
412	2144	3048
413	2146	3038
414	2148	3029
415	2150	3019
416	2152	3009
417	2155	3000
418	2156	2990
